項目,あざとい,アンバランス,ブサイク,変わっている,小さい,弱そう,愛らしい,日本っぽい,気持ち悪い,海外っぽい,現実的,理想的,美しい,面白い
イラスト(ちいかわ),3.636363636,1.545454545,2,2.272727273,4.636363636,4.363636364,3.636363636,4.181818182,1.727272727,1.545454545,2,2.454545455,1.909090909,2.636363636
イラスト(赤髪),3.363636364,1.454545455,1.272727273,1.454545455,2.636363636,3.272727273,3.636363636,3.454545455,1.454545455,2.454545455,2,3.090909091,3.090909091,1.545454545
イラスト(黒髪),2.909090909,1.363636364,1.090909091,2.090909091,2.090909091,2.727272727,3.636363636,4.545454545,1.272727273,2.181818182,3.363636364,3.909090909,4.090909091,1.363636364
ケーキ,2.818181818,1.909090909,1.363636364,1.636363636,2.909090909,2.818181818,3.818181818,3.272727273,1.454545455,3.727272727,3.454545455,4.090909091,3.727272727,2.181818182
ココアとマシュマロ,3.181818182,1.363636364,1.090909091,1.636363636,3.818181818,3.363636364,4.181818182,2.727272727,1.272727273,3.272727273,2.545454545,3.090909091,2.181818182,2.727272727
ネイル,2.818181818,1.272727273,1,1.363636364,2.090909091,2.181818182,3.636363636,3,1.272727273,3,3.090909091,3.909090909,4.363636364,2.181818182
ピースする子,2.181818182,1.363636364,1.272727273,1.909090909,3.363636364,2.545454545,4,3.545454545,1.363636364,2.636363636,3.090909091,2.909090909,2.818181818,3.363636364
犬,3.818181818,1.818181818,1.727272727,1.727272727,4,3.363636364,4.636363636,2.545454545,1.181818182,3.181818182,3.272727273,3,2.818181818,2.636363636
眠そうな女の子,3.727272727,1.545454545,1.727272727,1.545454545,2.818181818,4.090909091,3.636363636,3,1.454545455,2.181818182,3,2.545454545,2.363636364,2.090909091
着ぐるみ着た男の子,4.363636364,1.545454545,1.272727273,2.181818182,4.727272727,4.181818182,4.909090909,3.545454545,1.090909091,3.090909091,2.363636364,3.181818182,2.272727273,4.090909091
花束,2.818181818,1.181818182,1,1.181818182,2.727272727,3,4.363636364,3.090909091,1,3.454545455,3.545454545,4.181818182,4.727272727,1.454545455
芸人とオブジェ,3.181818182,1.818181818,2.636363636,2.818181818,2.363636364,3.272727273,4.181818182,3.818181818,2.272727273,2.454545455,3.090909091,1.363636364,2,4.272727273
赤ちゃん,3.272727273,1.727272727,1.181818182,1.454545455,4.818181818,4.181818182,4.818181818,3.181818182,1,2.636363636,3.545454545,3.363636364,3.272727273,3
麺を食べたい女の子,2.363636364,1.454545455,1.818181818,2.636363636,3.363636364,3.272727273,4.545454545,2.363636364,1.272727273,2.727272727,3.545454545,2.181818182,1.818181818,3.545454545
